,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
481,3444420842714324334,When did the army air corp become the air force?,When did the army air Corp become the United States Army Air Forces?,When did it become the air force or abolished by legislation establishing the Department of the Air Force?,Become the air force.,"June 20, 1941"
482,3444420842714324334,When did the army air corp become the air force?,When was the army air corp legally abolished by legislation establishing the Department of the Air Force?,When did it become the air force or abolished by legislation establishing the Department of the Air Force?,Abolished by legislation establishing the Department of the Air Force.,"September 18, 1947"
483,-8434678371817632975,Who was a at the beginning of pretty little liars?,Which character was a at the beginning of pretty little liars?,Which character was a or which actress portrayed a at the beginning of pretty little liars?,Character.,Mona Vanderwaal; Mona
484,-8434678371817632975,Who was a at the beginning of pretty little liars?,Which actress portrayed a at the beginning of pretty little liars?,Which character was a or which actress portrayed a at the beginning of pretty little liars?,Actress.,Janel Parrish
485,1189725798635244569,Where in the us has hosted the olympics?,Where in the us has hosted the summer olympics?,Summer olympics or winter olympics?,Summer.,Atlanta; St. Louis; Los Angeles
486,1189725798635244569,Where in the us has hosted the olympics?,Where in the us has hosted the winter olympics?,Summer olympics or winter olympics?,Winter.,Salt Lake City; Lake Placid; Squaw Valley
487,2205307574948120843,How many layers are there in osi model?,How many layers are there generally considered to be in the OSI model?,In general or including the user?,In general.,7
488,2205307574948120843,How many layers are there in osi model?,How many layers are there in the OSI model when the user is included?,In general or including the user?,Including the user.,8
489,-3280469526551643874,What was the capital of a large area of the spanish empire?,What was the capital of the spanish empire's East Indies?,What was the capital of East Indies or the base for oversight of the indies in the 1500s or the capital administrative body?,The capital of East Indies.,Muslim Maynila; Manila
490,-3280469526551643874,What was the capital of a large area of the spanish empire?,What was the base for oversight of the indies of the spanish empire in the 1500s?,What was the capital of East Indies or the base for oversight of the indies in the 1500s or the capital administrative body?,The base for oversight of the indies in the 1500s.,Council of the Indies; Council of Castile
491,-3280469526551643874,What was the capital of a large area of the spanish empire?,What's the term for the capital administrative body of a large area of the spanish empire?,What was the capital of East Indies or the base for oversight of the indies in the 1500s or the capital administrative body?,The capital administrative body.,junta; standing committee
492,-4760471129755074699,Who won the nba mvp of the regular season?,Who won the nba mvp of the regular season in 2017?,What year do you want to know about?,2017.,Russell Westbrook; Russell Westbrook III; Westbrook
493,-4760471129755074699,Who won the nba mvp of the regular season?,Who won the nba mvp of the regular season in 2016?,What year do you want to know about?,2016.,"Wardell Stephen ""Steph"" Curry II; Stephen Curry; Curry; Steph Curry"
494,-4760471129755074699,Who won the nba mvp of the regular season?,Who won the nba mvp of the regular season in 2015?,What year do you want to know about?,2015.,"Wardell Stephen ""Steph"" Curry II; Stephen Curry; Curry; Steph Curry"
495,-3719849083000181386,When was the king james version of the bible first printed?,When was the original king james version of the bible first printed?,Are you talking about the original version or about the new one?,The original version.,1611
496,-3719849083000181386,When was the king james version of the bible first printed?,When was the new king james version of the bible first printed?,Are you talking about the original version or about the new one?,The new version.,1982
497,1167356446337008630,When did the black death start in the uk?,When did the bubonic plague reach London the first time?,When did it start the first time or the last one?,The first time.,June 1348
498,1167356446337008630,When did the black death start in the uk?,When did the bubonic plague reach London the last time?,When did it start the first time or the last one?,The last time.,1665
499,5404241316310930968,Who were the first european to reach the americas and when did they arrive?,Who were the first Europeans to reach the Americas?,Do you want to know who were them or when did they arrive?,Who they were.,Norsemen
500,5404241316310930968,Who were the first european to reach the americas and when did they arrive?,When did the first Europeans arrive in the Americas?,Do you want to know who were them or when did they arrive?,When did they arrive.,986
501,411816447422254238,Who created the declaration of the rights of man?,Who created the painting declaration of the rights of man?,"Who created the painting declaration of the rights, drafted the declaration, set it or created in 1793?",Created the painting declaration of the rights.,Jean-Jacques-François Le Barbier
502,411816447422254238,Who created the declaration of the rights of man?,Who drafted the declaration of the rights of man of 1789?,"Who created the painting declaration of the rights, drafted the declaration, set it or created in 1793?",Drafted the declaration of the rights.,Marquis de Lafayette; Honoré Mirabeau; Abbé Sieyès; Thomas Jefferson
503,411816447422254238,Who created the declaration of the rights of man?,Who set the declaration of the rights of man in 1789?,"Who created the painting declaration of the rights, drafted the declaration, set it or created in 1793?",Set the declaration of the rights.,National Constituent Assembly
504,411816447422254238,Who created the declaration of the rights of man?,Who created the declaration of the rights of man of 1793?,"Who created the painting declaration of the rights, drafted the declaration, set it or created in 1793?",Created the declaration of the rights in 1793.,Louis Antoine Léon de Saint-Just; Marie-Jean Hérault de Séchelles
505,-4988966900977295714,Where is the tigris and euphrates river valley located?,What continent is the tigris and euphrates river valley located?,What continent or in which countries is this river valley located?,Continent.,Western Asia; Asia
506,-4988966900977295714,Where is the tigris and euphrates river valley located?,In which countries is the tigris and euphrates river valley located?,What continent or in which countries is this river valley located?,Countries.,"Iraq and parts of Turkey, Syria, Iran, Saudi Arabia, Kuwait, and Jordan"
507,969150327819152892,The pair of hand drums used in indian classical music is called?,The pair of drums used in indian classical music is called?,The pair of drums or hand drums with a pair of jingles?,The pair of drums.,Tabla
508,969150327819152892,The pair of hand drums used in indian classical music is called?,The hand drums with a pair of jingles used in indian classical music is called?,The pair of drums or hand drums with a pair of jingles?,Hand drums with a pair of jingle.,"ganjira; kanjira; khanjiri; khanjira; kanjira, khanjira, khanjiri or ganjira"
509,5649940557798020127,When did the kokoda war start and end?,When did the Kokoda Track Campaign begin?,Do you want to know when did it end or begin?,Begin.,"July 21, 1941; 21 July 1942"
